order_date,order_year,order_month,item_category,order_count,item_count,promo_item_count,cust_count,avg_item_revenue,avg_distance,average_item_rate,promo_item_percentage
2023-02-12,2023,2,"Cheese Crackers, Breadsticks & Dipping",5,5,0,5,2.47,3034,1,0
2023-02-12,2023,2,Chocolate,21,22,0,20,2.08,3517.68,1.1,0
2023-02-13,2023,2,Cookies,10,10,0,10,1.85,3855.9,1,0
2023-02-13,2023,2,Crisp & Snacks,69,77,0,63,3.24,3309.47,1.22,0
2023-02-13,2023,2,null,27,31,0,24,null,3043.26,1.29,0
2023-02-13,2023,2,Other Confectionary,60,60,0,50,3.89,2994.95,1.2,0
2023-02-13,2023,2,Chocolate,14,14,0,11,2.58,3270.93,1.27,0
2023-02-13,2023,2,Chocolate & Sweet Spreads,6,6,0,3,4.07,2986.67,2,0
2023-02-13,2023,2,"Toffee, Fudge & Nougat",2,2,0,2,2.48,2455,1,0
2023-02-13,2023,2,"Cheese Crackers, Breadsticks & Dipping",4,4,0,3,2.36,1818.75,1.33,0
2023-02-14,2023,2,Cookies,5,5,0,5,2.41,1682.6,1,0
2023-02-14,2023,2,Other Confectionary,83,83,0,80,5.23,3996.83,1.04,0
2023-02-14,2023,2,Crisp & Snacks,123,128,0,110,3.17,3376.28,1.16,0
2023-02-14,2023,2,Chocolate,7,7,0,7,2,3373.14,1,0
2023-02-14,2023,2,null,60,65,0,58,null,2760.49,1.12,0
2023-02-14,2023,2,Chocolate & Sweet Spreads,2,2,0,2,4.23,4268.5,1,0
2023-02-14,2023,2,"Cheese Crackers, Breadsticks & Dipping",5,5,0,5,2.54,2771.6,1,0
2023-02-15,2023,2,Chocolate,36,36,0,22,2.26,3760.08,1.64,0
2023-02-15,2023,2,Other Confectionary,82,82,0,63,5.5,2990.78,1.3,0
2023-02-15,2023,2,null,69,72,0,59,null,3255.29,1.22,0
2023-02-15,2023,2,"Cheese Crackers, Breadsticks & Dipping",10,10,0,9,2.44,4636.6,1.11,0
2023-02-15,2023,2,Cookies,8,10,0,8,2.23,4029.2,1.25,0
2023-02-15,2023,2,Crisp & Snacks,121,137,0,110,3.15,3344.78,1.25,0
2023-02-15,2023,2,Chocolate & Sweet Spreads,3,3,0,3,2.83,2849.67,1,0
2023-02-16,2023,2,"Toffee, Fudge & Nougat",1,1,0,1,3.09,2830,1,0
2023-02-16,2023,2,Cookies,5,5,0,5,2.02,5205.6,1,0
2023-02-16,2023,2,Chocolate & Sweet Spreads,5,5,0,4,4.86,4208.8,1.25,0
2023-02-16,2023,2,Other Confectionary,56,56,0,51,4.88,3327.07,1.1,0
2023-02-16,2023,2,null,49,53,1,44,null,3652.58,1.2,0.02
2023-02-16,2023,2,Crisp & Snacks,118,127,0,95,3.02,3738.41,1.34,0
2023-02-16,2023,2,"Cheese Crackers, Breadsticks & Dipping",13,14,0,12,2.42,3899.07,1.17,0
2023-02-16,2023,2,Chocolate,28,29,0,23,2.45,3701.34,1.26,0
2023-02-17,2023,2,null,45,49,0,43,null,4271.39,1.14,0
2023-02-17,2023,2,"Cheese Crackers, Breadsticks & Dipping",2,2,0,2,3.41,4661,1,0
2023-02-17,2023,2,Chocolate,43,47,0,39,2.35,2940.74,1.21,0
2023-02-17,2023,2,Crisp & Snacks,73,77,0,65,3.19,3513.82,1.18,0
2023-02-17,2023,2,Other Confectionary,77,77,0,70,4.61,3350.43,1.1,0
2023-02-17,2023,2,Cookies,9,11,0,8,2.4,3047,1.38,0
2023-02-17,2023,2,Chocolate & Sweet Spreads,2,2,0,2,4.86,1553.5,1,0
2023-02-18,2023,2,Cookies,6,6,0,6,2.02,5030.83,1,0
